tag,date,Visitors
AIF/,2022-12-01,1387448.0
AIF/,2022-12-02,1224443.0
AIF/,2022-12-03,1108391.0
AIF/,2022-12-04,1071513.0
AIF/,2022-12-05,1174182.0
AIF/,2022-12-06,1291083.0
AIF/,2022-12-07,1207922.0
AIF/,2022-12-08,1238985.0
AIF/,2022-12-09,1319674.0
AIF/,2022-12-10,1189283.0
AIF/,2022-12-11,1093938.0
AIF/,2022-12-12,1278602.0
RBCRU/,2022-12-01,1991977.0
RBCRU/,2022-12-02,1866789.0
RBCRU/,2022-12-03,1626909.0
RBCRU/,2022-12-04,1542025.0
RBCRU/,2022-12-05,2352847.0
RBCRU/,2022-12-06,2332107.0
RBCRU/,2022-12-07,2363214.0
RBCRU/,2022-12-08,2035364.0
RBCRU/,2022-12-09,2102345.0
RBCRU/,2022-12-10,1598823.0
RBCRU/,2022-12-11,1629349.0
RBCRU/,2022-12-12,2245523.0
kommersant.ru/,2022-12-01,1256622.0
kommersant.ru/,2022-12-02,1378675.0
kommersant.ru/,2022-12-03,1102353.0
kommersant.ru/,2022-12-04,1097472.0
kommersant.ru/,2022-12-05,1860349.0
kommersant.ru/,2022-12-06,2137569.0
kommersant.ru/,2022-12-07,2049938.0
kommersant.ru/,2022-12-08,1528365.0
kommersant.ru/,2022-12-09,1452588.0
kommersant.ru/,2022-12-10,1105614.0
kommersant.ru/,2022-12-11,952752.0
kommersant.ru/,2022-12-12,1257654.0
AIF/,2022-12-13,1813153.0
AIF/,2022-12-14,1654333.0
AIF/,2022-12-15,1498196.0
AIF/,2022-12-16,1520309.0
AIF/,2022-12-17,1300286.0
AIF/,2022-12-18,1255633.0
AIF/,2022-12-19,1452511.0
AIF/,2022-12-20,1627972.0
AIF/,2022-12-21,2155922.0
AIF/,2022-12-22,1781819.0
AIF/,2022-12-23,1624060.0
AIF/,2022-12-24,1293778.0
AIF/,2022-12-25,1380283.0
AIF/,2022-12-26,1652066.0
AIF/,2022-12-27,1718167.0
AIF/,2022-12-28,1509550.0
AIF/,2022-12-29,1433384.0
AIF/,2022-12-30,1309879.0
AIF/,2022-12-31,1419916.0
RBCRU/,2022-12-13,2048429.0
RBCRU/,2022-12-14,1902302.0
RBCRU/,2022-12-15,2098860.0
RBCRU/,2022-12-16,2212248.0
RBCRU/,2022-12-17,1913382.0
RBCRU/,2022-12-18,1701228.0
RBCRU/,2022-12-19,2192362.0
RBCRU/,2022-12-20,2130843.0
RBCRU/,2022-12-21,2019407.0
RBCRU/,2022-12-22,2264692.0
RBCRU/,2022-12-23,2114234.0
RBCRU/,2022-12-24,1647098.0
RBCRU/,2022-12-25,1591336.0
RBCRU/,2022-12-26,2302125.0
RBCRU/,2022-12-27,2116293.0
RBCRU/,2022-12-28,2014865.0
RBCRU/,2022-12-29,2090723.0
RBCRU/,2022-12-30,1913593.0
RBCRU/,2022-12-31,1367155.0
kommersant.ru/,2022-12-13,1682620.0
kommersant.ru/,2022-12-14,1303241.0
kommersant.ru/,2022-12-15,1577975.0
kommersant.ru/,2022-12-16,1382445.0
kommersant.ru/,2022-12-17,1053629.0
kommersant.ru/,2022-12-18,1038669.0
kommersant.ru/,2022-12-19,1304091.0
kommersant.ru/,2022-12-20,1556512.0
kommersant.ru/,2022-12-21,1782531.0
kommersant.ru/,2022-12-22,1493295.0
kommersant.ru/,2022-12-23,1234777.0
kommersant.ru/,2022-12-24,1017316.0
kommersant.ru/,2022-12-25,964180.0
kommersant.ru/,2022-12-26,1193149.0
kommersant.ru/,2022-12-27,1306594.0
kommersant.ru/,2022-12-28,1237120.0
kommersant.ru/,2022-12-29,1385526.0
kommersant.ru/,2022-12-30,1273358.0
kommersant.ru/,2022-12-31,1074313.0
